timestamp	commit	branch	pade_m	pade_n	max_order	interval	enable_pade	pade_only_single_step	pade_denom_threshold	total_images	batch_size	seed	cfg_scale	num_sampling_steps	lpips	relative_l1	ssim	rmse	psnr	cosine	approx_total_steps	pade_steps	taylor_steps	mixed_steps	pade_calls	taylor_calls	pade_step_ratio	pade_call_ratio	status	comparison_bucket	bucket_best	paired_control_scope	paired_control_timestamp	paired_outcome	paired_control_lpips	paired_control_relative_l1	paired_control_ssim	paired_control_rmse	paired_delta_lpips	paired_delta_relative_l1	paired_delta_ssim	paired_delta_rmse	latency_baseline_timestamp	latency_baseline_sample_seconds	sample_seconds_budget	sample_seconds_ratio	latency_within_budget	pade_target_file	pade_code_sha256	pade_snapshot_file	description	sample_seconds	eval_seconds	total_seconds	artifact_dir
20260317-164634	d560c86	autoresearch/pade-20260317	1	1	4	4									0.083730	1.089614	0.864801	6.483089	26.306295	0.991464									keep																						baseline [1/1] pade	1534.421	32.083	1566.505	/home/yjs/autoresearch/runs/20260317-164634-m1-n1-k4-i4
20260317-175948	e0f1df8	autoresearch/pade-20260317	2	1	3	4									0.000000	0.000000	0.000000	0.000000	0.000000	0.000000									crash																						retry [2/1] pade | FileNotFoundError: Missing evaluation output: /home/yjs/TaylorSeer/TaylorSeer-DiT/pade_samples/eval_metrics.json	0.000	0.000	1240.926	
20260317-182129	90b76d1	autoresearch/pade-20260317	2	1	3	4									0.776419	1.085726	0.196243	10.111224	9.821618	0.819418									discard																						rerun [2/1] pade	2431.757	35.420	2467.181	/home/yjs/autoresearch/runs/20260317-182129-m2-n1-k3-i4
20260317-192751	24cf75f	autoresearch/pade-20260317	1	1	4	4									0.085580	1.073837	0.862213	6.533963	26.064807	0.990850									discard																						baseline [1/1] pade 100img	780.741	19.508	800.250	/home/yjs/autoresearch/runs/20260317-192751-m1-n1-k4-i4
20260317-194200	9eb1f07	autoresearch/pade-20260317	2	1	3	4									0.771598	1.057247	0.203497	10.177346	9.914695	0.829183									discard																						candidate [2/1] pade 100img	1234.071	23.116	1257.188	/home/yjs/autoresearch/runs/20260317-194200-m2-n1-k3-i4
20260317-200336	0b6e8ab	autoresearch/pade-20260317	1	2	3	4									0.082839	1.077390	0.864490	6.522857	26.063786	0.991173									keep																						candidate [1/2] pade 100img	1172.688	20.592	1193.283	/home/yjs/autoresearch/runs/20260317-200336-m1-n2-k3-i4
20260318-221350	388755b	autoresearch/pade-20260318	2	2	4	4		true	0.0001						0.766705	1.055359	0.203880	10.175372	9.835116	0.827594	9300	2950	6350	0	165200	355600	0.317204	0.317204	discard																						retry [2/2] pade 100img	1230.233	18.533	1248.768	/home/yjs/autoresearch/runs/20260318-221350-m2-n2-k4-i4
20260318-223640	bea086c	autoresearch/pade-20260318	1	3	4	4		true	0.0001						0.086068	1.074013	0.861292	6.557550	26.011166	0.990845	9300	2950	6350	0	165200	355600	0.317204	0.317204	discard																						candidate [1/3] pade 100img	1625.492	18.698	1644.191	/home/yjs/autoresearch/runs/20260318-223640-m1-n3-k4-i4
20260318-231316	edee15b	autoresearch/pade-20260318	3	1	4	4		true	0.0001						0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	crash																						auto candidate [3/1] pade 100img | CalledProcessError: Command '['/home/yjs/xdit_env/bin/python', '/home/yjs/TaylorSeer/TaylorSeer-DiT/sample.py', '--pade-m', '3', '--pade-n', '1', '--max-order', '4',	0.000	0.000	5.630	
20260318-231322	043f7cf	autoresearch/pade-20260318	3	2	5	4		true	0.0001						0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	crash																						auto candidate [3/2] pade 100img | CalledProcessError: Command '['/home/yjs/xdit_env/bin/python', '/home/yjs/TaylorSeer/TaylorSeer-DiT/sample.py', '--pade-m', '3', '--pade-n', '2', '--max-order', '5',	0.000	0.000	5.530	
